subSystem	disrupted_module	rxnList	MetabolicUnits	Localization	rxnFormula	rxnName	rxnECNumbers
Nucleotide interconversion	MTA_ST_norm_t1	UMPK7	pyrimidine synthesis/ de novo	[c]	dgtp[c] + ump[c]  <=> udp[c] + dgdp[c] 	UMP Kinase (dGTP)	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t1	UMPK2	pyrimidine synthesis/ de novo	intercompartmental	ctp[c] + ump[c]  <=> udp[c] + cdp[c] 	UMP Kinase (CTP)	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t1	CYTK12	NA	[c]	dcmp[c] + dctp[c]  <=> 2 dcdp[c] 	Cytidylate Kinase (dCMP, dCTP)	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t1	CYTK6	NA	[c]	cmp[c] + ctp[c]  <=> 2 cdp[c] 	Cytidylate Kinase (CMP, CTP)	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t1	UMPK	pyrimidine synthesis	intercompartmental	atp[c] + ump[c]  <=> adp[c] + udp[c] 	UMP Kinase	
Nucleotide interconversion	MTA_ST_norm_t1	UMPK3	pyrimidine synthesis/ de novo	[c]	utp[c] + ump[c]  <=> 2 udp[c] 	UMP Kinase (UTP)	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t2	CYTK8n	NA	[n]	cmp[n] + datp[n]  <=> cdp[n] + dadp[n] 	Cytidylate Kinase (CMP, dATP), Nuclear	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t2	UMPK5	NA	[c]	datp[c] + ump[c]  <=> udp[c] + dadp[c] 	UMP Kinase (dATP)	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t2	UMPK6n	pyrimidine synthesis/ de novo	intercompartmental	dctp[n] + ump[n]  <=> dcdp[n] + udp[n] 	UMP Kinase (dCTP), Nuclear	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t2	UMPK3	pyrimidine synthesis/ de novo	intercompartmental	utp[c] + ump[c]  <=> 2 udp[c] 	UMP Kinase (UTP)	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t2	UMPK	pyrimidine synthesis	intercompartmental	atp[c] + ump[c]  <=> adp[c] + udp[c] 	UMP Kinase	
Nucleotide interconversion	MTA_ST_norm_t2	CYTK6n	NA	[n]	ctp[n] + cmp[n]  <=> 2 cdp[n] 	Cytidylate Kinase (CMP, CTP), Nuclear	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t2	CYTK1	NA	intercompartmental	atp[c] + cmp[c]  <=> adp[c] + cdp[c] 	Cytidylate Kinase (CMP)	
Nucleotide interconversion	MTA_ST_norm_t2	CYTK14n	NA	[n]	dcmp[n] + utp[n]  <=> dcdp[n] + udp[n] 	Cytidylate Kinase (dCMP, CTP), Nuclear	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t2	CYTK14	NA	[c]	dcmp[c] + utp[c]  <=> udp[c] + dcdp[c] 	Cytidylate Kinase (dCMP, UTP)	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t2	CYTK7	NA	[c]	cmp[c] + utp[c]  <=> udp[c] + cdp[c] 	Cytidylate Kinase (CMP, UTP)	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t2	CYTK2n	NA	[n]	atp[n] + dcmp[n]  <=> dcdp[n] + adp[n] 	Cytidylate Kinase (dCMP), Nuclear	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t2	CYTDK1	pyrimidine synthesis/ de novo	intercompartmental	atp[c] + cytd[c]  -> h[c] + adp[c] + cmp[c] 	ATPcytidine 5-Phosphotransferase	
Nucleotide interconversion	MTA_ST_norm_t2	CYTK1n	NA	intercompartmental	atp[n] + cmp[n]  <=> cdp[n] + adp[n] 	Cytidylate Kinase (CMP), Nuclear	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t2	CYTK9n	NA	[n]	cmp[n] + dctp[n]  <=> cdp[n] + dcdp[n] 	Cytidylate Kinase (CMP, dCTP), Nuclear	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t2	CYTK13	NA	intercompartmental	datp[c] + dcmp[c]  <=> dadp[c] + dcdp[c] 	Cytidylate Kinase (dCMP, dATP)	2.7.4.14
Nucleotide interconversion	MTA_ST_norm_t2	UMPK7	pyrimidine synthesis/ de novo	intercompartmental	dgtp[c] + ump[c]  <=> udp[c] + dgdp[c] 	UMP Kinase (dGTP)	2.7.4.14
